run	V(vout2)
8.900000000000000e+01	3.596969e-02
9.000000000000000e+01	3.598987e-02
9.100000000000000e+01	3.599719e-02
9.200000000000000e+01	3.604341e-02
9.300000000000000e+01	3.593688e-02
9.400000000000000e+01	3.597198e-02
9.500000000000000e+01	3.601928e-02
9.600000000000000e+01	3.597000e-02
9.700000000000000e+01	3.596791e-02
9.800000000000000e+01	3.594553e-02
9.900000000000000e+01	3.599362e-02
1.000000000000000e+02	3.598813e-02
1.010000000000000e+02	3.599832e-02
1.020000000000000e+02	3.596721e-02
1.030000000000000e+02	3.599437e-02
1.040000000000000e+02	3.597948e-02
1.050000000000000e+02	3.593495e-02
1.060000000000000e+02	3.596153e-02
1.070000000000000e+02	3.601416e-02
1.080000000000000e+02	3.597673e-02
1.090000000000000e+02	3.598411e-02
1.100000000000000e+02	3.592548e-02
1.110000000000000e+02	3.591013e-02
1.120000000000000e+02	3.593349e-02
1.130000000000000e+02	3.594988e-02
1.140000000000000e+02	3.591464e-02
1.150000000000000e+02	3.596428e-02
1.160000000000000e+02	3.600899e-02
1.170000000000000e+02	3.592426e-02
1.180000000000000e+02	3.593213e-02
1.190000000000000e+02	3.598583e-02
1.200000000000000e+02	3.591739e-02
1.210000000000000e+02	3.595296e-02
1.220000000000000e+02	3.592763e-02
1.230000000000000e+02	3.600780e-02
1.240000000000000e+02	3.599804e-02
1.250000000000000e+02	3.591016e-02
1.260000000000000e+02	3.598482e-02
1.270000000000000e+02	3.596824e-02
1.280000000000000e+02	3.597555e-02
1.290000000000000e+02	3.587022e-02
1.300000000000000e+02	3.595911e-02
1.310000000000000e+02	3.596578e-02
1.320000000000000e+02	3.594111e-02
1.330000000000000e+02	3.590259e-02
1.340000000000000e+02	3.591488e-02
1.350000000000000e+02	3.595007e-02
1.360000000000000e+02	3.591613e-02
1.370000000000000e+02	3.597922e-02
1.380000000000000e+02	3.594634e-02
1.390000000000000e+02	3.597402e-02
1.400000000000000e+02	3.598614e-02
1.410000000000000e+02	3.601290e-02
1.420000000000000e+02	3.597360e-02
1.430000000000000e+02	3.597948e-02
1.440000000000000e+02	3.601518e-02
1.450000000000000e+02	3.598011e-02
1.460000000000000e+02	3.601525e-02
1.470000000000000e+02	3.591999e-02
1.480000000000000e+02	3.597435e-02
1.490000000000000e+02	3.599541e-02
1.500000000000000e+02	3.595170e-02
1.510000000000000e+02	3.595543e-02
1.520000000000000e+02	3.596783e-02
1.530000000000000e+02	3.597525e-02
1.540000000000000e+02	3.593980e-02
1.550000000000000e+02	3.601548e-02
1.560000000000000e+02	3.594018e-02
1.570000000000000e+02	3.592920e-02
1.580000000000000e+02	3.601333e-02
1.590000000000000e+02	3.598239e-02
1.600000000000000e+02	3.595362e-02
1.610000000000000e+02	3.592129e-02
1.620000000000000e+02	3.594246e-02
1.630000000000000e+02	3.594534e-02
1.640000000000000e+02	3.595828e-02
1.650000000000000e+02	3.591592e-02
1.660000000000000e+02	3.600823e-02
1.670000000000000e+02	3.593560e-02
1.680000000000000e+02	3.590095e-02
1.690000000000000e+02	3.596188e-02
1.700000000000000e+02	3.587356e-02
1.710000000000000e+02	3.595188e-02
1.720000000000000e+02	3.597138e-02
1.730000000000000e+02	3.599472e-02
1.740000000000000e+02	3.596034e-02
1.750000000000000e+02	3.598553e-02
1.760000000000000e+02	3.591792e-02
1.770000000000000e+02	3.604094e-02
1.780000000000000e+02	3.594283e-02
1.790000000000000e+02	3.596969e-02
1.800000000000000e+02	3.593049e-02
1.810000000000000e+02	3.591353e-02
1.820000000000000e+02	3.597705e-02
1.830000000000000e+02	3.595306e-02
1.840000000000000e+02	3.595592e-02
1.850000000000000e+02	3.601524e-02
1.860000000000000e+02	3.593187e-02
1.870000000000000e+02	3.598247e-02
1.880000000000000e+02	3.598456e-02
1.890000000000000e+02	3.595272e-02
1.900000000000000e+02	3.596769e-02
1.910000000000000e+02	3.593213e-02
1.920000000000000e+02	3.592781e-02
1.930000000000000e+02	3.599002e-02
1.940000000000000e+02	3.594380e-02
1.950000000000000e+02	3.601123e-02
1.960000000000000e+02	3.595507e-02
1.970000000000000e+02	3.601171e-02
1.980000000000000e+02	3.595422e-02
1.990000000000000e+02	3.596060e-02
2.000000000000000e+02	3.590216e-02
2.010000000000000e+02	3.593329e-02
2.020000000000000e+02	3.594888e-02
2.030000000000000e+02	3.595391e-02
2.040000000000000e+02	3.595806e-02
2.050000000000000e+02	3.595893e-02
2.060000000000000e+02	3.592283e-02
2.070000000000000e+02	3.601878e-02
2.080000000000000e+02	3.594800e-02
2.090000000000000e+02	3.596906e-02
2.100000000000000e+02	3.595523e-02
2.110000000000000e+02	3.594770e-02
2.120000000000000e+02	3.591614e-02
2.130000000000000e+02	3.595410e-02
2.140000000000000e+02	3.596371e-02
2.150000000000000e+02	3.587754e-02
2.160000000000000e+02	3.595718e-02
2.170000000000000e+02	3.591426e-02
2.180000000000000e+02	3.597018e-02
2.190000000000000e+02	3.596630e-02
2.200000000000000e+02	3.591999e-02
2.210000000000000e+02	3.591213e-02
2.220000000000000e+02	3.597868e-02
2.230000000000000e+02	3.596339e-02
2.240000000000000e+02	3.602365e-02
2.250000000000000e+02	3.598433e-02
2.260000000000000e+02	3.600593e-02
2.270000000000000e+02	3.597760e-02
2.280000000000000e+02	3.599612e-02
2.290000000000000e+02	3.596794e-02
2.300000000000000e+02	3.599741e-02
2.310000000000000e+02	3.593279e-02
